,,Time,,Levels(ft),Inflows(Cs),Disch(Cs) 
2019,01-Jan-19,1,2019,1655.43,6012,17093
2019,02-Jan-19,2,2019.003,1654.87,5848,15856
2019,03-Jan-19,3,2019.005,1654.38,6116,14873
2019,04-Jan-19,4,2019.008,1653.89,5983,14740
2019,05-Jan-19,5,2019.011,1653.4,5902,14660
2019,06-Jan-19,6,2019.014,1653,6409,13558
2019,07-Jan-19,7,2019.016,1652.63,5970,12584
2019,08-Jan-19,8,2019.019,1652.28,6615,12870
2019,09-Jan-19,9,2019.022,1651.82,5544,13765
2019,10-Jan-19,10,2019.025,1651.37,5736,13778
2019,11-Jan-19,11,2019.027,1650.93,5916,13780
2019,12-Jan-19,12,2019.03,1650.43,5315,14251
2019,13-Jan-19,13,2019.033,1649.93,5732,14668
2019,14-Jan-19,14,2019.036,1649.44,5993,14750
2019,15-Jan-19,15,2019.038,1648.93,6101,15216
2019,16-Jan-19,16,2019.041,1648.29,4896,16334
2019,17-Jan-19,17,2019.044,1647.68,5538,16441
2019,18-Jan-19,18,2019.047,1647.1,6574,16940
2019,19-Jan-19,19,2019.049,1646.48,6174,17254
2019,20-Jan-19,20,2019.052,1645.75,5779,18825
2019,21-Jan-19,21,2019.055,1645.05,5689,18200
2019,22-Jan-19,22,2019.058,1644.47,6334,16700
2019,23-Jan-19,23,2019.06,1644.11,7937,14371
2019,24-Jan-19,24,2019.063,1643.68,6341,14026
2019,25-Jan-19,25,2019.066,1643.37,6689,12229
2019,26-Jan-19,26,2019.068,1642.86,5755,14871
2019,27-Jan-19,27,2019.071,1642.32,5606,15257
2019,28-Jan-19,28,2019.074,1641.55,5551,19312
2019,29-Jan-19,29,2019.077,1640.65,5243,21328
2019,30-Jan-19,30,2019.079,1639.72,5389,21520
2019,31-Jan-19,31,2019.082,1638.83,6216,20560
2019,01-Feb-19,32,2019.085,1638.21,6381,16374
2019,02-Feb-19,33,2019.088,1637.66,6348,15212
2019,03-Feb-19,34,2019.09,1637.13,6488,15030
2019,04-Feb-19,35,2019.093,1636.54,5890,15400
2019,05-Feb-19,36,2019.096,1635.99,6278,15143
2019,06-Feb-19,37,2019.099,1635.49,6251,14310
2019,07-Feb-19,38,2019.101,1635.16,7084,12403
2019,08-Feb-19,39,2019.104,1635.56,18185,11738
2019,09-Feb-19,40,2019.107,1635.43,8501,10596
2019,10-Feb-19,41,2019.11,1635.2,8505,12212
2019,11-Feb-19,42,2019.112,1634.85,7176,12818
2019,12-Feb-19,43,2019.115,1634.49,6633,12435
2019,13-Feb-19,44,2019.118,1634.12,6421,12385
2019,14-Feb-19,45,2019.121,1633.77,6934,12576
2019,15-Feb-19,46,2019.123,1633.61,9140,11718
2019,16-Feb-19,47,2019.126,1633.6,10096,10257
2019,17-Feb-19,48,2019.129,1633.5,9201,10813
2019,18-Feb-19,49,2019.132,1633.26,8837,12705
2019,19-Feb-19,50,2019.134,1633.05,9390,12775
2019,20-Feb-19,51,2019.137,1632.78,8824,13176
2019,21-Feb-19,52,2019.14,1632.38,9223,15670
2019,22-Feb-19,53,2019.142,1632.2,11963,14863
2019,23-Feb-19,54,2019.145,1632.33,16535,14440
2019,24-Feb-19,55,2019.148,1632.21,12706,14640
2019,25-Feb-19,56,2019.151,1632.02,11637,14700
2019,26-Feb-19,57,2019.153,1631.75,10273,14625
2019,27-Feb-19,58,2019.156,1631.44,9604,14600
2019,28-Feb-19,59,2019.159,1631.07,8854,14818
2019,01-Mar-19,60,2019.162,1630.66,8576,15184
2019,02-Mar-19,61,2019.164,1630.22,8206,15298
2019,03-Mar-19,62,2019.167,1629.87,9524,15166
2019,04-Mar-19,63,2019.17,1629.53,9161,14640
2019,05-Mar-19,64,2019.173,1629.22,9638,14635
