Time,Levels(ft),Inflows(Cs),Disch(Cs)
1999,1645.12,7816,21229
1999.003,1644.36,6964,20555
1999.005,1643.47,6690,22605
1999.008,1642.61,6795,22174
1999.011,1641.75,7393,22777
1999.014,1640.86,6662,22578
1999.016,1639.79,7064,25857
1999.019,1638.92,8378,22507
1999.022,1638.07,8691,22496
1999.025,1637.19,8459,22754
1999.027,1636.28,7846,22624
1999.03,1635.35,7798,22905
1999.033,1634.45,8185,22800
1999.036,1633.53,7855,22800
1999.038,1632.61,7636,22576
1999.041,1631.55,6863,24081
1999.044,1630.52,7455,24181
1999.047,1629.49,7062,23794
1999.049,1628.52,6884,22636
1999.052,1627.54,6659,22578
1999.055,1626.58,6905,22495
1999.058,1625.62,6867,22462
1999.06,1624.65,7422,23174
1999.063,1623.74,7312,22094
1999.066,1622.83,7607,22385
1999.068,1621.89,7521,22791
1999.071,1620.92,6702,22454
1999.074,1619.94,6395,22217
1999.077,1619,8767,22538
1999.079,1618.02,8104,22462
1999.082,1617,7561,22500
1999.085,1615.97,7485,22576
1999.088,1614.93,7301,22538
1999.09,1614.07,6862,19461
1999.093,1613.18,7136,20171
1999.096,1612.23,6082,20000
1999.099,1611.31,6609,20088
1999.101,1610.4,6669,20000
1999.104,1609.49,6671,20000
1999.107,1608.61,7062,19956
1999.11,1607.68,6374,20000
1999.112,1606.75,6463,20088
1999.115,1605.82,6423,20044
1999.118,1604.77,6013,21396
1999.121,1603.67,6476,22592
1999.123,1602.58,6530,22500
1999.126,1601.4,5217,22500
1999.129,1600.32,6400,22223
1999.132,1599.15,6837,22685
1999.134,1598.05,7830,22271
1999.137,1596.87,7009,22500
1999.14,1595.64,6833,22982
1999.142,1594.42,7030,23046
1999.145,1593.72,5887,22954
1999.148,1592,7636,22340
1999.151,1590.81,7138,22764
1999.153,1589.68,7574,22412
1999.156,1588.48,6790,22544
1999.159,1587.28,6836,22590
1999.162,1586.07,6754,22639
1999.164,1584.79,6360,23164
1999.167,1583.54,5520,21932
1999.17,1582.27,5682,22354
1999.173,1581.02,5856,22267
1999.175,1579.71,5756,22500
1999.178,1578.42,7541,22454
1999.181,1577.17,8049,22500
1999.184,1575.92,8049,22500
1999.186,1574.77,9067,22361
1999.189,1573.58,8974,22731
1999.192,1572.31,7819,22500
1999.195,1571,7355,22500
1999.197,1569.66,6917,22408
1999.2,1568.3,6638,22361
1999.203,1566.93,6755,22593
1999.205,1565.63,7472,22500
1999.208,1564.24,6476,22546
1999.211,1562.8,5807,22454
1999.214,1561.37,6015,22546
1999.216,1559.82,4911,22500
1999.219,1558.28,7514,22500
1999.222,1556.76,7756,22546
1999.225,1555.24,7756,22546
1999.227,1553.71,7474,22362
1999.23,1552.16,7419,22500
1999.233,1550.58,7358,22731
1999.236,1549.01,7036,22315
1999.238,1547.31,6594,22546
1999.241,1545.89,7128,21509
1999.244,1544.44,7163,21273
1999.247,1543.39,6853,17069
1999.249,1542.42,6949,16387
1999.252,1541.51,6968,15824
1999.255,1540.57,6860,16006
1999.258,1539.53,6874,16047
1999.26,1538.56,8422,15904
1999.263,1537.78,9654,15670
1999.266,1537.06,10447,16000
1999.268,1536.42,11162,16095
1999.271,1535.78,11111,16048
1999.274,1535.02,10090,15952
1999.277,1534.41,11507,16213
1999.279,1533.93,12250,15952
1999.282,1533.48,12480,15951
1999.285,1532.88,11386,16015
1999.288,1532.47,11888,15050
1999.29,1532.08,12040,15048
1999.293,1531.72,12552,15330
1999.296,1531.6,14179,15104
1999.299,1531.54,15594,16057
1999.301,1531.72,17443,16055
1999.304,1531.92,19638,18095
1999.307,1531.94,19655,19500
1999.31,1532.02,20062,19445
1999.312,1532.4,22486,19555
1999.315,1532.47,20040,19500
1999.318,1532.53,19797,19335
1999.321,1532.74,21121,19500
1999.323,1533.03,22925,20688
1999.326,1533.54,24357,20423
1999.329,1534.25,27048,21571
1999.332,1534.81,28370,24052
1999.334,1534.86,24439,24053
1999.337,1534.26,19533,24160
1999.34,1533.44,17675,24000
1999.342,1532.58,17419,24054
1999.345,1531.92,18855,23946
1999.348,1531.77,22897,24054
1999.351,1532,25668,23893
1999.353,1531.68,21851,24320
1999.356,1531.11,19656,24053
1999.359,1530.68,20633,23947
1999.362,1530.56,22080,23006
1999.364,1530.64,23517,22899
1999.367,1530.6,22650,22959
1999.37,1530.41,21440,22906
1999.373,1530.4,22830,22907
1999.375,1531.05,27972,22960
1999.378,1532.11,30922,22746
1999.381,1533.05,30159,22907
1999.384,1534.26,31975,22642
1999.386,1535.62,33921,23431
1999.389,1536.84,32356,22945
1999.392,1538.41,35160,23055
1999.395,1540.56,40443,22728
1999.397,1541.72,34181,22894
1999.4,1542.32,29982,24143
1999.403,1542.73,28427,24438
1999.405,1543.16,28684,24500
1999.408,1543.51,27960,24555
1999.411,1543.64,25710,24445
1999.414,1542.94,22775,29586
1999.416,1541.96,20189,29725
1999.419,1540.7,17011,29271
1999.422,1539.17,16841,30055
1999.425,1537.75,18992,29945
1999.427,1536.08,17123,30000
1999.43,1534.21,15685,30110
1999.433,1532.41,16060,29945
1999.436,1530.94,18443,29779
1999.438,1529.86,21616,29945
1999.441,1529.26,25158,29785
1999.444,1528.93,27775,30322
1999.447,1528.71,29362,31059
1999.449,1528.17,26835,31000
1999.452,1527.43,25078,30787
1999.455,1526.97,27913,31461
1999.458,1527.31,34944,32321
1999.46,1528.53,42077,32667
1999.463,1529.93,42827,32027
1999.466,1532.64,54125,33225
1999.468,1534.26,46996,34500
1999.471,1535.22,41905,34500
1999.474,1535.61,37361,34353
1999.477,1535.91,37314,35000
1999.479,1536.33,37015,33775
1999.482,1536.69,37639,34862
1999.485,1537.53,40720,34246
1999.488,1538.82,44831,34881
1999.49,1540.11,43082,32908
1999.493,1541.62,47133,32440
1999.496,1543.8,51418,30206
1999.499,1546.28,54633,30502
1999.501,1549.53,61711,30092
1999.504,1552.09,54498,29587
1999.507,1553.52,44069,30155
1999.51,1554.7,41127,29645
1999.512,1555.97,42557,30200
1999.515,1557.26,43073,30520
1999.518,1558.75,43978,29480
1999.521,1560.62,49640,30310
1999.523,1562.56,51743,29315
1999.526,1564.6,53686,30103
1999.529,1566.94,56569,29518
1999.532,1568.11,42794,29267
1999.534,1568.77,36682,29053
1999.537,1569.54,37955,29053
1999.54,1570.7,42570,29160
1999.542,1572.2,46022,28680
1999.545,1573.93,48516,28517
1999.548,1575.78,50543,29156
1999.551,1579.56,68096,24397
1999.553,1584.05,81740,23645
1999.556,1587.3,65892,23224
1999.559,1589.75,55164,23000
1999.562,1591.49,45896,23052
1999.564,1592.92,41831,23051
1999.567,1594.4,42949,23520
1999.57,1595.87,44057,24758
1999.573,1597.57,49164,26846
1999.575,1599.3,50814,27051
1999.578,1602.03,64980,27103
1999.581,1604.95,69251,26471
1999.584,1607.84,69237,26901
1999.586,1610.74,69033,27106
1999.589,1613.49,65885,25596
1999.592,1616.31,66753,25442
1999.595,1619.51,72909,26197
1999.597,1624.52,106006,25414
1999.6,1628.29,85990,24759
1999.603,1631.32,73920,24710
1999.605,1634.48,75879,24553
1999.608,1637.97,82151,25470
1999.611,1640.62,70015,25952
1999.614,1643.16,70915,25875
1999.616,1645.11,61572,26847
1999.619,1646.24,46780,26567
1999.622,1647.1,42325,26947
1999.625,1647.88,40843,26893
1999.627,1648.73,42254,27053
1999.63,1649.93,48359,26894
1999.633,1651.82,60744,26946
1999.636,1653.39,54604,26524
1999.638,1654.82,52209,26636
1999.641,1656.28,52436,26322
1999.644,1657.71,51229,25657
1999.647,1659,49951,26878
1999.649,1660.27,49870,26733
1999.652,1661.59,51822,27107
1999.655,1662.44,44140,26625
1999.658,1663.09,40021,27371
1999.66,1663.63,37161,26653
1999.663,1664.1,35658,26511
1999.666,1664.56,35251,26299
1999.668,1664.89,34031,27608
1999.671,1665.29,35173,27389
1999.674,1665.57,33899,28451
1999.677,1665.95,33628,26232
1999.679,1666.44,35655,26120
1999.682,1666.67,31372,26896
1999.685,1666.65,26537,26926
1999.688,1666.8,29898,26978
1999.69,1666.95,29715,26796
1999.693,1666.95,26212,26212
1999.696,1667.18,28708,24232
1999.699,1667.37,28026,24329
1999.701,1667.41,27779,27000
1999.704,1667.47,27865,26698
1999.707,1667.61,28650,25925
1999.71,1667.68,27960,26598
1999.712,1667.95,30711,25674
1999.715,1668.09,28267,25542
1999.718,1668.47,32447,25053
1999.721,1668.61,28260,25535
1999.723,1668.66,26261,25288
1999.726,1668.72,27126,25958
1999.729,1669.43,36922,23106
1999.732,1669.72,28943,23299
1999.734,1669.87,26016,23097
1999.737,1669.95,24707,23150
1999.74,1669.94,23222,23417
1999.742,1669.91,22620,23203
1999.745,1669.85,22088,23256
1999.748,1669.94,20938,19187
1999.751,1670.05,20691,18550
1999.753,1670.09,18758,17979
1999.756,1670.05,17366,18145
1999.759,1670.01,17125,17903
1999.762,1669.94,17025,18388
1999.764,1669.79,15248,18166
1999.767,1669.6,15060,18759
1999.77,1669.37,14148,18624
1999.773,1669.12,13635,18500
1999.775,1668.86,13494,18552
1999.778,1668.44,13263,21438
1999.781,1668.02,12739,20912
1999.784,1667.57,12188,20946
1999.786,1667.19,12079,19473
1999.789,1666.86,12120,18542
1999.792,1666.52,11833,18451
1999.795,1666.17,11738,18549
1999.797,1665.84,11932,18354
1999.8,1665.48,10697,17703
1999.803,1665.2,11084,16533
1999.805,1664.87,10494,16916
1999.808,1664.54,10077,16500
1999.811,1664.22,10273,16500
1999.814,1663.87,9737,16548
1999.816,1663.5,10146,17347
1999.819,1663.1,9813,17597
1999.822,1662.7,9765,17548
1999.825,1662.29,9570,17549
1999.827,1661.87,9084,17258
1999.83,1661.4,9114,18261
1999.833,1660.93,9502,18648
1999.836,1660.49,9840,18403
1999.838,1660.04,9645,18403
1999.841,1659.51,9545,19085
1999.844,1658.92,9445,20000
1999.847,1658.33,9545,20097
1999.849,1657.77,10061,20075
1999.852,1657.26,10879,20000
1999.855,1656.71,9642,19476
1999.858,1656.1,9090,20000
1999.86,1655.47,9774,21044
1999.863,1654.83,9736,21181
1999.866,1654.12,9448,22146
1999.868,1653.37,8908,22320
1999.871,1652.57,8646,22952
1999.874,1651.78,8452,22583
1999.877,1650.98,8486,22792
1999.879,1650.19,8548,22677
1999.882,1649.34,7752,22953
1999.885,1648.48,7571,22954
1999.888,1647.62,7487,22866
1999.89,1646.85,9230,23000
1999.893,1645.96,8126,24046
1999.896,1645.02,8026,24837
1999.899,1644.08,7598,24408
1999.901,1643.15,7296,23928
1999.904,1642.26,6993,22908
1999.907,1641.34,6478,22935
1999.91,1640.41,6462,23092
1999.912,1639.5,7592,23048
1999.915,1638.58,7455,22396
1999.918,1637.84,7993,20014
1999.921,1637.07,7591,20097
1999.923,1636.31,7803,20145
1999.926,1635.56,7437,19619
1999.929,1634.76,7216,20208
1999.932,1633.97,7389,20223
1999.934,1633.17,7461,20454
1999.937,1632.36,7259,20412
1999.94,1631.54,7268,20588
1999.942,1630.72,7096,20412
1999.945,1629.91,6840,20000
1999.948,1629.12,6645,19475
1999.951,1628.29,6525,20003
1999.953,1627.42,6914,21046
1999.956,1626.54,6525,20815
1999.959,1625.72,6461,19783
1999.962,1624.9,6184,19500
1999.964,1624.07,6020,19500
1999.967,1623.23,5854,19500
1999.97,1622.4,5979,19456
1999.973,1621.56,5766,19412
1999.975,1620.72,5727,19368
1999.978,1619.8,5512,20137
1999.981,1618.9,6245,19431
1999.984,1618.04,6545,19144
1999.986,1617.21,6669,18824
1999.989,1616.38,6701,18862
1999.992,1615.5,6107,19000
1999.995,1614.64,6354,18954
1999.997,1613.6,6651,21883
2000,1612.27,9597,29082
2000.003,1611.2,7006,22683
2000.005,1610.32,5881,18772
2000.008,1609.45,5986,18729
2000.011,1608.6,5999,18454
2000.014,1607.76,6193,18500
2000.016,1606.87,5711,18750
2000.019,1605.04,5783,19404
2000.022,1604.85,5673,21642
2000.025,1603.82,5734,20825
2000.027,1602.82,5432,20083
2000.03,1602,5477,17490
2000.033,1601.8,7028,15814
2000.036,1600.94,9069,15809
2000.038,1600.36,7540,16037
2000.041,1599.67,6206,15813
2000.044,1599.01,6643,15308
2000.046,1598.36,6567,15099
2000.049,1597.67,6170,15230
2000.052,1597,6250,15046
2000.055,1596.24,6353,16330
2000.057,1595.45,6127,16500
2000.06,1594.62,6222,17117
2000.063,1593.83,5869,16241
2000.066,1593.03,5732,16235
2000.068,1592.27,5630,15607
2000.071,1591.62,7328,15867
2000.074,1590.91,6560,15879
2000.077,1590.18,6231,15815
2000.079,1589.43,5927,15776
2000.082,1588.65,5663,15903
2000.085,1587.87,5614,15854
2000.087,1587.18,6809,15868
2000.09,1586.49,6542,15600
2000.093,1585.85,6322,14725
2000.096,1585.16,5942,15000
2000.098,1584.47,5941,15000
2000.101,1583.83,6943,15345
2000.104,1583.1,5600,15184
2000.107,1582.37,5507,15090
2000.109,1581.64,5415,15000
2000.112,1580.95,5986,15044
2000.115,1580.29,6644,15308
2000.117,1579.66,7261,15000
2000.12,1579.06,7932,14868
2000.123,1578.35,6880,15088
2000.126,1577.62,6604,15044
2000.128,1576.84,5983,15000
2000.131,1576.09,6286,14956
2000.134,1575.31,6117,15134
2000.137,1574.55,6124,14910
2000.139,1573.81,6489,15044
2000.142,1573,5636,15000
2000.145,1572.1,5641,16045
2000.148,1571.2,5606,16011
2000.15,1570.29,5576,16097
2000.153,1569.2,5496,18096
2000.156,1568.01,5229,18986
2000.158,1566.79,5139,19244
2000.161,1565.51,5343,20139
2000.164,1564.16,5029,20636
2000.167,1562.82,4601,20093
2000.169,1561.48,4600,20090
2000.172,1560.05,4528,21060
2000.175,1558.58,6510,20906
2000.178,1557.16,7684,21500
2000.18,1555.62,6603,21588
2000.183,1554.11,6397,21090
2000.186,1552.6,6173,20866
2000.189,1551.09,5872,20565
2000.191,1549.56,5612,20500
2000.194,1548,5282,20456
2000.197,1546.54,6288,20495
2000.199,1545,5560,20544
2000.202,1543.43,5267,20544
2000.205,1541.84,5116,20588
2000.208,1540.23,4927,20592
