,Year,day,,Time,Levels(ft),Inflows(Cs),Disch(Cs)
1,1999,01 January 1999,1,1999.000,1645.12,7816,21229
2,1999,02 January 1999,2,1999.003,1644.36,6964,20555
3,1999,03 January 1999,3,1999.005,1643.47,6690,22605
4,1999,04 January 1999,4,1999.008,1642.61,6795,22174
5,1999,05 January 1999,5,1999.011,1641.75,7393,22777
6,1999,06 January 1999,6,1999.014,1640.86,6662,22578
7,1999,07 January 1999,7,1999.016,1639.79,7064,25857
8,1999,08 January 1999,8,1999.019,1638.92,8378,22507
9,1999,09 January 1999,9,1999.022,1638.07,8691,22496
10,1999,10 January 1999,10,1999.025,1637.19,8459,22754
11,1999,11 January 1999,11,1999.027,1636.28,7846,22624
12,1999,12 January 1999,12,1999.030,1635.35,7798,22905
13,1999,13 January 1999,13,1999.033,1634.45,8185,22800
14,1999,14 January 1999,14,1999.036,1633.53,7855,22800
15,1999,15 January 1999,15,1999.038,1632.61,7636,22576
16,1999,16 January 1999,16,1999.041,1631.55,6863,24081
17,1999,17 January 1999,17,1999.044,1630.52,7455,24181
18,1999,18 January 1999,18,1999.047,1629.49,7062,23794
19,1999,19 January 1999,19,1999.049,1628.52,6884,22636
20,1999,20 January 1999,20,1999.052,1627.54,6659,22578
21,1999,21 January 1999,21,1999.055,1626.58,6905,22495
22,1999,22 January 1999,22,1999.058,1625.62,6867,22462
23,1999,23 January 1999,23,1999.060,1624.65,7422,23174
24,1999,24 January 1999,24,1999.063,1623.74,7312,22094
25,1999,25 January 1999,25,1999.066,1622.83,7607,22385
26,1999,26 January 1999,26,1999.068,1621.89,7521,22791
27,1999,27 January 1999,27,1999.071,1620.92,6702,22454
28,1999,28 January 1999,28,1999.074,1619.94,6395,22217
29,1999,29 January 1999,29,1999.077,1619,8767,22538
30,1999,30 January 1999,30,1999.079,1618.02,8104,22462
31,1999,31 January 1999,31,1999.082,1617,7561,22500
1,1999,01 February 1999,32,1999.085,1615.97,7485,22576
2,1999,02 February 1999,33,1999.088,1614.93,7301,22538
3,1999,03 February 1999,34,1999.090,1614.07,6862,19461
4,1999,04 February 1999,35,1999.093,1613.18,7136,20171
5,1999,05 February 1999,36,1999.096,1612.23,6082,20000
6,1999,06 February 1999,37,1999.099,1611.31,6609,20088
7,1999,07 February 1999,38,1999.101,1610.4,6669,20000
8,1999,08 February 1999,39,1999.104,1609.49,6671,20000
9,1999,09 February 1999,40,1999.107,1608.61,7062,19956
10,1999,10 February 1999,41,1999.110,1607.68,6374,20000
11,1999,11 February 1999,42,1999.112,1606.75,6463,20088
12,1999,12 February 1999,43,1999.115,1605.82,6423,20044
13,1999,13 February 1999,44,1999.118,1604.77,6013,21396
14,1999,14 February 1999,45,1999.121,1603.67,6476,22592
15,1999,15 February 1999,46,1999.123,1602.58,6530,22500
16,1999,16 February 1999,47,1999.126,1601.4,5217,22500
17,1999,17 February 1999,48,1999.129,1600.32,6400,22223
18,1999,18 February 1999,49,1999.132,1599.15,6837,22685
19,1999,19 February 1999,50,1999.134,1598.05,7830,22271
20,1999,20 February 1999,51,1999.137,1596.87,7009,22500
21,1999,21 February 1999,52,1999.140,1595.64,6833,22982
22,1999,22 February 1999,53,1999.142,1594.42,7030,23046
23,1999,23 February 1999,54,1999.145,1593.72,5887,22954
24,1999,24 February 1999,55,1999.148,1592,7636,22340
25,1999,25 February 1999,56,1999.151,1590.81,7138,22764
26,1999,26 February 1999,57,1999.153,1589.68,7574,22412
27,1999,27 February 1999,58,1999.156,1588.48,6790,22544
28,1999,28 February 1999,59,1999.159,1587.28,6836,22590
1,1999,01 March 1999,60,1999.162,1586.07,6754,22639
2,1999,02 March 1999,61,1999.164,1584.79,6360,23164
3,1999,03 March 1999,62,1999.167,1583.54,5520,21932
4,1999,04 March 1999,63,1999.170,1582.27,5682,22354
5,1999,05 March 1999,64,1999.173,1581.02,5856,22267
6,1999,06 March 1999,65,1999.175,1579.71,5756,22500
7,1999,07 March 1999,66,1999.178,1578.42,7541,22454
8,1999,08 March 1999,67,1999.181,1577.17,8049,22500
9,1999,09 March 1999,68,1999.184,1575.92,8049,22500
10,1999,10 March 1999,69,1999.186,1574.77,9067,22361
11,1999,11 March 1999,70,1999.189,1573.58,8974,22731
12,1999,12 March 1999,71,1999.192,1572.31,7819,22500
13,1999,13 March 1999,72,1999.195,1571,7355,22500
14,1999,14 March 1999,73,1999.197,1569.66,6917,22408
15,1999,15 March 1999,74,1999.200,1568.3,6638,22361
16,1999,16 March 1999,75,1999.203,1566.93,6755,22593
17,1999,17 March 1999,76,1999.205,1565.63,7472,22500
18,1999,18 March 1999,77,1999.208,1564.24,6476,22546
19,1999,19 March 1999,78,1999.211,1562.8,5807,22454
20,1999,20 March 1999,79,1999.214,1561.37,6015,22546
21,1999,21 March 1999,80,1999.216,1559.82,4911,22500
22,1999,22 March 1999,81,1999.219,1558.28,7514,22500
23,1999,23 March 1999,82,1999.222,1556.76,7756,22546
24,1999,24 March 1999,83,1999.225,1555.24,7756,22546
25,1999,25 March 1999,84,1999.227,1553.71,7474,22362
26,1999,26 March 1999,85,1999.230,1552.16,7419,22500
27,1999,27 March 1999,86,1999.233,1550.58,7358,22731
28,1999,28 March 1999,87,1999.236,1549.01,7036,22315
29,1999,29 March 1999,88,1999.238,1547.31,6594,22546
30,1999,30 March 1999,89,1999.241,1545.89,7128,21509
31,1999,31 March 1999,90,1999.244,1544.44,7163,21273
1,1999,01 April 1999,91,1999.247,1543.39,6853,17069
2,1999,02 April 1999,92,1999.249,1542.42,6949,16387
3,1999,03 April 1999,93,1999.252,1541.51,6968,15824
4,1999,04 April 1999,94,1999.255,1540.57,6860,16006
5,1999,05 April 1999,95,1999.258,1539.53,6874,16047
6,1999,06 April 1999,96,1999.260,1538.56,8422,15904
