,Time,Levels(ft),Inflows(Cs),Disch(Cs)
1,1999,1645.12,7816,21229
2,1999.003,1644.36,6964,20555
3,1999.005,1643.47,6690,22605
4,1999.008,1642.61,6795,22174
5,1999.011,1641.75,7393,22777
6,1999.014,1640.86,6662,22578
7,1999.016,1639.79,7064,25857
8,1999.019,1638.92,8378,22507
9,1999.022,1638.07,8691,22496
10,1999.025,1637.19,8459,22754
11,1999.027,1636.28,7846,22624
12,1999.03,1635.35,7798,22905
13,1999.033,1634.45,8185,22800
14,1999.036,1633.53,7855,22800
15,1999.038,1632.61,7636,22576
16,1999.041,1631.55,6863,24081
17,1999.044,1630.52,7455,24181
18,1999.047,1629.49,7062,23794
19,1999.049,1628.52,6884,22636
20,1999.052,1627.54,6659,22578
21,1999.055,1626.58,6905,22495
22,1999.058,1625.62,6867,22462
23,1999.06,1624.65,7422,23174
24,1999.063,1623.74,7312,22094
25,1999.066,1622.83,7607,22385
26,1999.068,1621.89,7521,22791
27,1999.071,1620.92,6702,22454
28,1999.074,1619.94,6395,22217
29,1999.077,1619,8767,22538
30,1999.079,1618.02,8104,22462
31,1999.082,1617,7561,22500
32,1999.085,1615.97,7485,22576
33,1999.088,1614.93,7301,22538
34,1999.09,1614.07,6862,19461
35,1999.093,1613.18,7136,20171
36,1999.096,1612.23,6082,20000
37,1999.099,1611.31,6609,20088
38,1999.101,1610.4,6669,20000
39,1999.104,1609.49,6671,20000
40,1999.107,1608.61,7062,19956
41,1999.11,1607.68,6374,20000
42,1999.112,1606.75,6463,20088
43,1999.115,1605.82,6423,20044
44,1999.118,1604.77,6013,21396
45,1999.121,1603.67,6476,22592
46,1999.123,1602.58,6530,22500
47,1999.126,1601.4,5217,22500
48,1999.129,1600.32,6400,22223
49,1999.132,1599.15,6837,22685
50,1999.134,1598.05,7830,22271
51,1999.137,1596.87,7009,22500
52,1999.14,1595.64,6833,22982
53,1999.142,1594.42,7030,23046
54,1999.145,1593.72,5887,22954
55,1999.148,1592,7636,22340
56,1999.151,1590.81,7138,22764
57,1999.153,1589.68,7574,22412
58,1999.156,1588.48,6790,22544
59,1999.159,1587.28,6836,22590
60,1999.162,1586.07,6754,22639
61,1999.164,1584.79,6360,23164
62,1999.167,1583.54,5520,21932
63,1999.17,1582.27,5682,22354
64,1999.173,1581.02,5856,22267
65,1999.175,1579.71,5756,22500
66,1999.178,1578.42,7541,22454
67,1999.181,1577.17,8049,22500
68,1999.184,1575.92,8049,22500
69,1999.186,1574.77,9067,22361
70,1999.189,1573.58,8974,22731
71,1999.192,1572.31,7819,22500
72,1999.195,1571,7355,22500
73,1999.197,1569.66,6917,22408
74,1999.2,1568.3,6638,22361
75,1999.203,1566.93,6755,22593
76,1999.205,1565.63,7472,22500
77,1999.208,1564.24,6476,22546
78,1999.211,1562.8,5807,22454
79,1999.214,1561.37,6015,22546
80,1999.216,1559.82,4911,22500
81,1999.219,1558.28,7514,22500
82,1999.222,1556.76,7756,22546
83,1999.225,1555.24,7756,22546
84,1999.227,1553.71,7474,22362
85,1999.23,1552.16,7419,22500
86,1999.233,1550.58,7358,22731
87,1999.236,1549.01,7036,22315
88,1999.238,1547.31,6594,22546
89,1999.241,1545.89,7128,21509
90,1999.244,1544.44,7163,21273
91,1999.247,1543.39,6853,17069
92,1999.249,1542.42,6949,16387
93,1999.252,1541.51,6968,15824
94,1999.255,1540.57,6860,16006
95,1999.258,1539.53,6874,16047
96,1999.26,1538.56,8422,15904
97,1999.263,1537.78,9654,15670
98,1999.266,1537.06,10447,16000
99,1999.268,1536.42,11162,16095
100,1999.271,1535.78,11111,16048
101,1999.274,1535.02,10090,15952
102,1999.277,1534.41,11507,16213
103,1999.279,1533.93,12250,15952
104,1999.282,1533.48,12480,15951
105,1999.285,1532.88,11386,16015
106,1999.288,1532.47,11888,15050
107,1999.29,1532.08,12040,15048
108,1999.293,1531.72,12552,15330
109,1999.296,1531.6,14179,15104
110,1999.299,1531.54,15594,16057
111,1999.301,1531.72,17443,16055
112,1999.304,1531.92,19638,18095
113,1999.307,1531.94,19655,19500
114,1999.31,1532.02,20062,19445
115,1999.312,1532.4,22486,19555
116,1999.315,1532.47,20040,19500
117,1999.318,1532.53,19797,19335
118,1999.321,1532.74,21121,19500
119,1999.323,1533.03,22925,20688
120,1999.326,1533.54,24357,20423
121,1999.329,1534.25,27048,21571
122,1999.332,1534.81,28370,24052
123,1999.334,1534.86,24439,24053
124,1999.337,1534.26,19533,24160
125,1999.34,1533.44,17675,24000
126,1999.342,1532.58,17419,24054
127,1999.345,1531.92,18855,23946
128,1999.348,1531.77,22897,24054
129,1999.351,1532,25668,23893
130,1999.353,1531.68,21851,24320
131,1999.356,1531.11,19656,24053
132,1999.359,1530.68,20633,23947
133,1999.362,1530.56,22080,23006
134,1999.364,1530.64,23517,22899
135,1999.367,1530.6,22650,22959
136,1999.37,1530.41,21440,22906
137,1999.373,1530.4,22830,22907
138,1999.375,1531.05,27972,22960
139,1999.378,1532.11,30922,22746
140,1999.381,1533.05,30159,22907
141,1999.384,1534.26,31975,22642
142,1999.386,1535.62,33921,23431
143,1999.389,1536.84,32356,22945
144,1999.392,1538.41,35160,23055
145,1999.395,1540.56,40443,22728
146,1999.397,1541.72,34181,22894
147,1999.4,1542.32,29982,24143
148,1999.403,1542.73,28427,24438
149,1999.405,1543.16,28684,24500
150,1999.408,1543.51,27960,24555
151,1999.411,1543.64,25710,24445
152,1999.414,1542.94,22775,29586
153,1999.416,1541.96,20189,29725
154,1999.419,1540.7,17011,29271
155,1999.422,1539.17,16841,30055
156,1999.425,1537.75,18992,29945
157,1999.427,1536.08,17123,30000
158,1999.43,1534.21,15685,30110
159,1999.433,1532.41,16060,29945
160,1999.436,1530.94,18443,29779
161,1999.438,1529.86,21616,29945
162,1999.441,1529.26,25158,29785
163,1999.444,1528.93,27775,30322
164,1999.447,1528.71,29362,31059
165,1999.449,1528.17,26835,31000
166,1999.452,1527.43,25078,30787
167,1999.455,1526.97,27913,31461
168,1999.458,1527.31,34944,32321
169,1999.46,1528.53,42077,32667
170,1999.463,1529.93,42827,32027
171,1999.466,1532.64,54125,33225
172,1999.468,1534.26,46996,34500
173,1999.471,1535.22,41905,34500
174,1999.474,1535.61,37361,34353
175,1999.477,1535.91,37314,35000
176,1999.479,1536.33,37015,33775
177,1999.482,1536.69,37639,34862
178,1999.485,1537.53,40720,34246
179,1999.488,1538.82,44831,34881
180,1999.49,1540.11,43082,32908
181,1999.493,1541.62,47133,32440
182,1999.496,1543.8,51418,30206
183,1999.499,1546.28,54633,30502
184,1999.501,1549.53,61711,30092
185,1999.504,1552.09,54498,29587
186,1999.507,1553.52,44069,30155
187,1999.51,1554.7,41127,29645
188,1999.512,1555.97,42557,30200
189,1999.515,1557.26,43073,30520
190,1999.518,1558.75,43978,29480
191,1999.521,1560.62,49640,30310
192,1999.523,1562.56,51743,29315
193,1999.526,1564.6,53686,30103
194,1999.529,1566.94,56569,29518
195,1999.532,1568.11,42794,29267
196,1999.534,1568.77,36682,29053
197,1999.537,1569.54,37955,29053
198,1999.54,1570.7,42570,29160
199,1999.542,1572.2,46022,28680
200,1999.545,1573.93,48516,28517
201,1999.548,1575.78,50543,29156
202,1999.551,1579.56,68096,24397
203,1999.553,1584.05,81740,23645
204,1999.556,1587.3,65892,23224
205,1999.559,1589.75,55164,23000
206,1999.562,1591.49,45896,23052
207,1999.564,1592.92,41831,23051
208,1999.567,1594.4,42949,23520
209,1999.57,1595.87,44057,24758
210,1999.573,1597.57,49164,26846
211,1999.575,1599.3,50814,27051
212,1999.578,1602.03,64980,27103
213,1999.581,1604.95,69251,26471
214,1999.584,1607.84,69237,26901
215,1999.586,1610.74,69033,27106
216,1999.589,1613.49,65885,25596
217,1999.592,1616.31,66753,25442
218,1999.595,1619.51,72909,26197
219,1999.597,1624.52,106006,25414
220,1999.6,1628.29,85990,24759
221,1999.603,1631.32,73920,24710
222,1999.605,1634.48,75879,24553
223,1999.608,1637.97,82151,25470
224,1999.611,1640.62,70015,25952
225,1999.614,1643.16,70915,25875
226,1999.616,1645.11,61572,26847
227,1999.619,1646.24,46780,26567
228,1999.622,1647.1,42325,26947
229,1999.625,1647.88,40843,26893
230,1999.627,1648.73,42254,27053
231,1999.63,1649.93,48359,26894
232,1999.633,1651.82,60744,26946
233,1999.636,1653.39,54604,26524
234,1999.638,1654.82,52209,26636
235,1999.641,1656.28,52436,26322
236,1999.644,1657.71,51229,25657
237,1999.647,1659,49951,26878
238,1999.649,1660.27,49870,26733
239,1999.652,1661.59,51822,27107
240,1999.655,1662.44,44140,26625
241,1999.658,1663.09,40021,27371
242,1999.66,1663.63,37161,26653
243,1999.663,1664.1,35658,26511
244,1999.666,1664.56,35251,26299
245,1999.668,1664.89,34031,27608
246,1999.671,1665.29,35173,27389
247,1999.674,1665.57,33899,28451
248,1999.677,1665.95,33628,26232
249,1999.679,1666.44,35655,26120
250,1999.682,1666.67,31372,26896
251,1999.685,1666.65,26537,26926
252,1999.688,1666.8,29898,26978
253,1999.69,1666.95,29715,26796
254,1999.693,1666.95,26212,26212
255,1999.696,1667.18,28708,24232
256,1999.699,1667.37,28026,24329
257,1999.701,1667.41,27779,27000
258,1999.704,1667.47,27865,26698
259,1999.707,1667.61,28650,25925
260,1999.71,1667.68,27960,26598
261,1999.712,1667.95,30711,25674
262,1999.715,1668.09,28267,25542
263,1999.718,1668.47,32447,25053
264,1999.721,1668.61,28260,25535
265,1999.723,1668.66,26261,25288
266,1999.726,1668.72,27126,25958
267,1999.729,1669.43,36922,23106
268,1999.732,1669.72,28943,23299
269,1999.734,1669.87,26016,23097
270,1999.737,1669.95,24707,23150
271,1999.74,1669.94,23222,23417
272,1999.742,1669.91,22620,23203
273,1999.745,1669.85,22088,23256
274,1999.748,1669.94,20938,19187
275,1999.751,1670.05,20691,18550
276,1999.753,1670.09,18758,17979
277,1999.756,1670.05,17366,18145
278,1999.759,1670.01,17125,17903
279,1999.762,1669.94,17025,18388
280,1999.764,1669.79,15248,18166
281,1999.767,1669.6,15060,18759
282,1999.77,1669.37,14148,18624
283,1999.773,1669.12,13635,18500
284,1999.775,1668.86,13494,18552
285,1999.778,1668.44,13263,21438
286,1999.781,1668.02,12739,20912
287,1999.784,1667.57,12188,20946
288,1999.786,1667.19,12079,19473
289,1999.789,1666.86,12120,18542
290,1999.792,1666.52,11833,18451
291,1999.795,1666.17,11738,18549
292,1999.797,1665.84,11932,18354
293,1999.8,1665.48,10697,17703
294,1999.803,1665.2,11084,16533
295,1999.805,1664.87,10494,16916
296,1999.808,1664.54,10077,16500
297,1999.811,1664.22,10273,16500
298,1999.814,1663.87,9737,16548
299,1999.816,1663.5,10146,17347
300,1999.819,1663.1,9813,17597
301,1999.822,1662.7,9765,17548
302,1999.825,1662.29,9570,17549
303,1999.827,1661.87,9084,17258
