Days,Mean,St dev,co relation
1,5849.05,1778.58588,0.04614008
2,5631.45,1146.862791,0.770945989
3,5476.2,937.0957149,0.684858064
4,5662.3,1002.622829,0.835565085
5,5700.8,1036.05835,0.902121567
6,5531.05,877.7935541,0.901523882
7,5579.45,988.8011069,0.851804058
8,5904.85,1348.678975,0.728955418
9,5658.8,1128.123108,0.757801794
10,5681.5,977.8208048,0.763612662
11,5599.75,908.6424735,0.763014513
12,5472.85,845.5314912,0.918456579
13,5458.4,1062.040063,0.881562881
14,5624.95,1272.710265,0.902991371
15,5580.2,1165.450245,0.902080624
16,5620.75,1315.45865,0.734399191
17,5650.8,1193.937034,0.917657897
18,5700.3,1246.050396,0.778055342
19,5815.95,1646.897641,0.610179121
20,5607.65,1145.999232,0.908403959
21,5367.4,1068.923137,0.851791623
22,5340.35,899.3016165,0.819075892
23,5695.95,1588.902881,0.544199773
24,5787.5,1646.06323,0.613649034
25,5475.85,945.5140777,0.859789672
26,5353.9,855.044591,0.734468052
27,5339.15,1112.965279,0.79362815
28,5368.85,1545.165577,0.908893087
29,5273.45,1187.96604,0.683448762
30,5311.55,949.5872497,0.870948682
31,5353.05,889.4298277,0.837321377
32,5233.5,1127.982526,0.819709074
33,5195.55,1117.091829,0.818185872
34,5163.7,964.9775618,0.912551196
35,5236.7,970.5252566,0.92966776
36,5060.85,897.468444,0.681971205
37,5416.65,1722.463972,0.560673986
38,5844.35,2700.946097,0.980906813
39,5552.2,1467.587085,0.822565788
40,5657.4,1269.171441,0.779195267
41,5632.05,1502.67563,0.704193651
42,5654.3,1331.130707,0.923558267
43,5658.25,1024.701285,0.798266647
44,5706.55,1213.593163,0.865887407
45,5678.5,1199.565382,0.896571216
46,5715.25,1168.816985,0.708930077
47,6109.05,2430.927925,0.806657642
48,6000.15,2254.706336,0.939632322
49,5559.55,1617.140474,0.930646849
50,5655.15,1365.460103,0.871031994
51,5664.05,1464.116312,0.879703979
52,5650.3,1328.008208,0.809974114
53,5479.1,1217.861927,0.867759954
54,5642.8,1241.462745,0.798006285
55,5898.85,1306.811116,0.809770812
56,5906.05,1269.959613,0.933144142
57,6098.3,992.1325835,0.866934781
58,5789.2,839.0619198,0.624047424
